ticker,company,date,signal_price,current_price,change_pct,rally_probability,signal_confidence,anomaly_intensity,screening_score,recommendation
1211.SR,Saudi Arabian Mining Co.,2026-01-29,77.3,77.3,0.0,61.6,30.2,0.5,70.90519751500378,GOOD
7200.SR,Al Moammar Information Systems ,2026-01-25,182.0,179.9,-1.15,65.1,38.5,0.93,70.21366880428141,GOOD
1303.SR,Electrical Industries Co.,2026-01-29,13.68,13.68,0.0,65.5,33.8,0.71,68.50769698812263,GOOD
8210.SR,Bupa Arabia for Cooperative Ins,2026-01-27,156.0,165.0,5.77,60.0,30.8,0.57,64.97038432151385,GOOD
1321.SR,East Pipes Integrated Company f,2026-01-29,152.2,152.2,0.0,62.5,31.5,0.64,63.41274180841629,GOOD
1150.SR,Alinma Bank,2026-01-27,27.38,28.48,4.02,63.4,38.1,0.6,61.59793764936179,GOOD
4190.SR,Jarir Marketing Co.,2026-01-26,13.89,14.27,2.74,60.0,39.0,0.68,61.24096454518989,GOOD
1010.SR,Riyad Bank,2026-01-27,28.0,28.1,0.36,66.0,33.1,0.77,60.79867007991099,GOOD
4280.SR,Kingdom Holding Co.,2026-01-25,8.03,8.08,0.62,58.3,33.4,0.62,60.6847601008202,GOOD
2070.SR,Saudi Pharmaceutical Industries,2026-01-29,27.62,27.62,0.0,56.5,30.2,0.43,56.517538499872344,MODERATE
6070.SR,Al-Jouf Agricultural Developmen,2026-01-29,50.0,50.0,0.0,60.2,34.2,0.43,55.85551067471161,MODERATE
1050.SR,Banque Saudi Fransi,2026-01-29,18.05,18.05,0.0,60.4,31.8,0.6,55.40923236322969,MODERATE
8050.SR,Salama Cooperative Insurance Co,2026-01-29,9.61,9.61,0.0,59.5,42.0,0.44,52.94061717060009,MODERATE
4051.SR,Baazeem Trading Co.,2026-01-25,6.31,6.27,-0.63,56.5,31.7,0.61,52.70646119389345,MODERATE
3040.SR,Qassim Cement Co.,2026-01-25,42.98,42.8,-0.42,61.4,45.4,0.5,52.67256864352403,MODERATE
8180.SR,Al Sagr Cooperative Insurance C,2026-01-29,10.08,10.08,0.0,59.9,51.0,0.52,52.47438706272049,MODERATE
2080.SR,National Gas and Industrializat,2026-01-26,90.55,89.0,-1.71,63.0,36.7,0.85,51.42450774788668,MODERATE
